CWPL,51.47,-90.20,5460.0,285.0,29.0
CWQI,43.83,-66.00,5540.0,325.0,41.0
CWSE,53.55,-113.90,5360.0,280.0,12.0
CYAH,53.75,-73.60,5340.0,300.0,70.0
CYBK,64.30,-96.00,5220.0,95.0,17.0
CYCB,69.10,-105.10,5190.0,245.0,32.0
CYEU,80.00,-85.80,4890.0,200.0,40.0
CYEV,68.30,-133.40,5210.0,245.0,37.0
CYFB,63.75,-68.50,5140.0,290.0,17.0
CYJT,48.53,-58.50,5360.0,280.0,45.0
CYLT,82.52,-62.20,4970.0,255.0,21.0
CYMO,51.27,-80.60,5450.0,275.0,37.0
CYPH,58.47,-78.00,5180.0,285.0,25.0
CYQD,53.97,-101.10,5370.0,250.0,31.0
CYRB,74.72,-94.90,5020.0,250.0,72.0
CYSA,43.93,-60.00,5490.0,300.0,21.0
CYSM,60.02,-111.90,5230.0,300.0,32.0
CYUX,68.78,-81.20,5160.0,350.0,22.0
CYVP,58.10,-68.40,5180.0,275.0,18.0
CYVQ,65.28,-126.80,5270.0,290.0,11.0
CYYE,58.83,-122.50,5300.0,275.0,25.0
CYYQ,58.75,-94.00,5250.0,275.0,35.0
CYYR,53.32,-60.40,5250.0,255.0,23.0
CYZT,50.68,-127.30,5470.0,315.0,36.0
CYZV,50.22,-66.20,5380.0,300.0,56.0
CZXS,53.90,-122.80,5380.0,300.0,20.0
KABQ,35.05,-106.60,5430.0,285.0,49.0
KABR,45.45,-98.40,5550.0,215.0,26.0
KADQ,57.75,-152.40,5200.0,120.0,27.0
KAGC,40.35,-79.90,5710.0,265.0,35.0
KAKN,58.68,-156.60,5180.0,130.0,19.0
KAKO,40.17,-103.20,5450.0,145.0,17.0
KALY,42.75,-72.20,5660.0,320.0,47.0
KAMA,35.23,-101.70,5440.0,215.0,64.0
KANC,61.17,-150.00,5260.0,155.0,26.0
KANN,55.03,-131.50,5420.0,275.0,26.0
KAPX,45.07,-82.40,5610.0,265.0,55.0
KBAD,32.50,-93.60,5780.0,215.0,60.0
KBET,60.78,-161.80,5180.0,145.0,23.0
KBIS,46.77,-100.70,5510.0,240.0,29.0
KBMX,33.57,-85.20,5820.0,270.0,47.0
KBNA,36.13,-86.60,5780.0,275.0,28.0
KBOI,43.57,-116.20,5390.0,335.0,22.0
KBRO,25.90,-97.40,5840.0,235.0,53.0
KBRW,71.30,-156.70,5130.0,275.0,11.0
KBUF,42.93,-78.70,5660.0,280.0,41.0
KBYH,35.97,-89.90,5760.0,nan,nan
KCAR,46.87,-68.00,5510.0,305.0,49.0
KCDB,55.20,-162.70,5100.0,170.0,8.0
KCHH,41.66,-69.96,5630.0,330.0,41.0
KCHS,32.90,-80.00,5810.0,315.0,22.0
KCRP,27.77,-97.50,5810.0,230.0,53.0
KDDC,37.77,-99.90,5540.0,185.0,65.0
KDEN,39.86,-104.70,5450.0,145.0,17.0
KDLF,29.37,-100.70,5680.0,220.0,84.0
KDMA,32.17,-110.80,5570.0,290.0,82.0
KDNR,39.78,-104.80,5450.0,145.0,17.0
KDRT,29.37,-100.90,5680.0,220.0,84.0
KDTX,42.70,-83.40,5670.0,270.0,34.0
KDVN,41.62,-90.50,5670.0,255.0,32.0
KEPZ,31.87,-106.70,5520.0,280.0,81.0
KEYW,24.55,-81.70,5880.0,320.0,32.0
KFAI,64.82,-147.80,5280.0,240.0,14.0
KFFC,33.37,-84.50,5820.0,290.0,33.0
KFGZ,35.23,-111.80,5470.0,260.0,39.0
KFOE,38.95,-95.60,5640.0,185.0,39.0
KFWD,32.79,-96.70,5670.0,200.0,85.0
KGGW,48.22,-106.60,5440.0,225.0,40.0
KGJT,39.13,-108.50,5430.0,310.0,21.0
KGRB,44.48,-88.10,5600.0,255.0,49.0
KGSO,36.08,-79.90,5780.0,280.0,21.0
KGYX,43.89,-70.26,5590.0,315.0,39.0
KIAD,38.95,-77.40,5730.0,290.0,36.0
KILN,39.43,-83.80,5730.0,255.0,31.0
KILX,40.15,-88.60,5690.0,265.0,37.0
KINL,48.57,-93.30,5520.0,260.0,14.0
KITO,19.72,-155.00,5810.0,245.0,19.0
KJAN,32.32,-90.00,5830.0,245.0,37.0
KJAX,30.50,-81.70,5840.0,315.0,43.0
KJSJ,18.43,-66.00,5840.0,305.0,17.0
KKPP,10.58,-61.30,5860.0,310.0,8.0
KLBF,41.13,-100.60,5540.0,205.0,29.0
KLCH,30.12,-93.20,5820.0,230.0,49.0
KLIT,34.73,-92.20,5760.0,nan,nan
KLKN,40.87,-114.20,5400.0,325.0,30.0
KLZK,34.83,-92.20,5760.0,nan,nan
KMAF,31.95,-102.20,5530.0,235.0,59.0
KMEX,19.43,-99.00,5880.0,245.0,12.0
KMFL,25.75,-79.60,5880.0,325.0,34.0
KMFR,42.37,-122.80,5530.0,330.0,68.0
KMHX,34.78,-76.88,5780.0,325.0,30.0
KMIA,25.82,-80.20,5880.0,325.0,34.0
KMPX,44.83,-93.55,5600.0,255.0,26.0
KMZT,23.18,-106.40,5800.0,280.0,54.0
KNGP,27.70,-97.20,5810.0,230.0,53.0
KNIP,30.23,-81.60,5840.0,315.0,43.0
